,num_of_objects_around_star,right_ascension,declination,g_band_mag,r_band_mag,i_band_mag,z_band_mag,j_band_mag,h_band_mag,k_band_mag,kepler_band_mag,num_of_transits,max_single_event_stat,max_multi_event_stat,odd_even_depth_stat,limb_dark_co4,limb_dark_co3,limb_dark_co2,limb_dark_co1,transit_signal_to_noise,planet_radius_earth,orbit_semimajor_axis,impact,transit_duration,transit_depth,orbital_period,planet_star_radius_ratio,planet_star_distance_radius,inclination,planet_temp,star_temp,star_surface_gravity,star_metallicity,star_radius,star_mass,flux_weight_offset_sig,centroid_right_ascension,centroid_declination,centroid_right_ascension_offset,centroid_declination_offset,planet_star_right_ascension_offset,planet_star_declination_offset,angular_offset_right_ascension,angular_offset_declination,angular_offset_sky,insolation_flux,star_density,classification
0,2,291.93423,48.141651,15.89,15.27,15.114,15.006,14.082,13.751,13.648,15.347,142.0,5.135849,28.47082,0.6864,0.0,0.0,0.2291,0.4603,35.8,2.26,0.0853,0.146,2.9575,615.8,9.48803557,0.022344,24.81,89.66,793.0,5455.0,4.467,0.14,0.927,0.919,0.002,19.462294,48.14191,0.43,0.94,-0.0002,-0.00055,-0.01,0.2,0.2,93.59,3.20796,0
1,2,291.93423,48.141651,15.89,15.27,15.114,15.006,14.082,13.751,13.648,15.347,25.0,7.027669,20.109507,0.0023,0.0,0.0,0.2291,0.4603,25.8,2.83,0.2734,0.586,4.507,874.8,54.4183827,0.027954,77.9,89.57,443.0,5455.0,4.467,0.14,0.927,0.919,0.003,19.462265,48.14199,-0.63,1.23,0.00066,-0.00105,0.39,0.0,0.39,9.11,3.02368,0
3,1,285.53461,48.28521,16.1,15.554,15.382,15.266,14.326,13.911,13.809,15.597,621.0,39.06655,541.8951,0.0,0.0,0.0,0.2865,0.3556,505.6,33.46,0.0267,1.276,2.40641,8079.2,1.736952453,0.387394,3.278,67.09,1395.0,5805.0,4.564,-0.52,0.791,0.836,0.0,19.03563762,48.2852105,-0.111,0.002,0.00302,-0.00142,-0.249,0.147,0.289,891.96,0.2208,2
4,1,288.75488,48.2262,16.015,15.468,15.292,15.241,14.366,14.064,13.952,15.509,515.0,4.749945,33.1919,0.309,0.0,0.0,0.2844,0.3661,40.9,2.75,0.0374,0.701,1.6545,603.3,2.525591777,0.024064,8.75,85.41,1406.0,6031.0,4.438,0.07,1.046,1.095,0.733,19.2503258,48.22626,-0.01,0.23,8e-05,-7e-05,0.03,-0.09,0.1,926.16,1.98635,0
9,3,286.99948,48.37579,16.559,15.77,15.534,15.368,14.363,13.868,13.785,15.841,69.0,20.457163,137.44981,0.1819,0.0,0.0,0.1451,0.582,161.9,5.76,0.1158,0.052,3.5347,4914.3,16.06864674,0.062161,36.85,89.92,600.0,5031.0,4.485,0.16,0.848,0.801,0.063,19.1332989,48.375778,0.033,-0.044,0.00026,0.00049,0.041,-0.015,0.044,30.75,3.6659,0
10,1,286.80847,49.316399,11.736,11.275,11.168,11.126,10.232,9.92,9.846,11.338,432.0,544.1701,6468.04,0.1522,0.0,0.0,0.2676,0.3928,4304.3,13.04,0.0354,0.818,1.74319,14230.9,2.470613377,0.123871,8.3977,84.41,1339.0,5820.0,4.457,-0.06,0.964,0.971,0.0,19.12056404,49.31642961,-0.0232,0.1066,-0.00012,0.00078,-0.009,-0.3,0.3,761.46,1.83538,0
12,1,281.28812,42.45108,13.886,13.511,13.424,13.413,12.576,12.324,12.293,13.563,384.0,130.83832,1725.5824,0.6662,0.0,0.0,0.305,0.3201,1741.5,14.59,0.0473,0.631,3.19843,9145.7,3.522498429,0.092086,7.541,85.2,1521.0,6225.0,4.169,-0.04,1.451,1.132,0.0,18.75252746,42.4510634,-0.5515,-0.0597,1e-05,0.00036,0.014,-0.013,0.02,1264.67,0.65374,0
13,2,295.64871,48.49556,13.169,12.74,12.602,12.564,11.698,11.402,11.367,12.772,352.0,4.8657312,41.28873,0.605,0.0,0.0,0.2622,0.4035,50.6,1.16,0.0465,0.051,2.6302,131.1,3.709214104,0.010424,10.888,89.73,1206.0,5833.0,4.407,-0.04,1.022,0.974,0.009,19.709924,48.495685,0.36,0.45,-4.6e-05,-5e-05,0.24,-0.15,0.29,500.46,1.77451,0
14,1,297.07993,47.597401,15.994,15.419,15.249,15.153,14.248,13.831,13.827,15.472,96.0,92.901566,628.3708,0.154,0.0,0.0,0.2711,0.3858,622.1,150.51,0.0978,2.483,3.6399,17984.3,11.521446064,1.625358,20.75,83.13,753.0,5795.0,4.554,-0.2,0.848,0.938,0.895,19.80533055,47.5973894,0.068,-0.038,0.0,0.0001,0.009,-0.009,0.013,75.88,1.27376,2
15,1,289.25821,47.635319,16.229,15.44,15.169,14.985,13.95,13.429,13.287,15.487,71.0,49.468765,320.90817,0.806,0.0,0.0,0.1908,0.5172,214.7,7.18,0.123,0.804,12.2155,8918.7,19.40393776,0.096729,9.099,84.93,523.0,5043.0,4.591,-0.54,0.68,0.657,0.048,19.28388234,47.6353187,0.038,-0.005,-0.00038,-0.0002,-0.001,0.009,0.009,17.69,0.03785,2
